crash_id,person_age,charge,person_ethnicity,financial_responsibility_type,crash_date,day_of_week,person_gender,person_helmet,driver_license_class,driver_license_endorsements,driver_drug_test_result,driver_license_state,driver_license_type,person_injury_severity
16189632,37,OPERATE UNREGISTERED MOTOR VEHICLE,W - WHITE,no data,2018-01-01,MONDAY,1 - MALE,1 - NOT WORN,C - CLASS C,NONE,97 - NOT APPLICABLE,TX - TEXAS,1 - DRIVER LICENSE,A - SUSPECTED SERIOUS INJURY
16203470,30,"NO CLASS ""M"" LICENSE",H - HISPANIC,2 - PROOF OF LIABILITY INSURANCE,2018-01-04,THURSDAY,1 - MALE,"3 - WORN, NOT DAMAGED",C - CLASS C,NONE,97 - NOT APPLICABLE,TX - TEXAS,1 - DRIVER LICENSE,C - POSSIBLE INJURY
16191458,20,ACCIDENT INVOLVING DAMAGE TO VEHICLE>=$200/ FSRA-MISDEMEANOR,W - WHITE,2 - PROOF OF LIABILITY INSURANCE,2018-01-05,FRIDAY,1 - MALE,99 - UNKNOWN IF WORN,C - CLASS C,NONE,97 - NOT APPLICABLE,TX - TEXAS,1 - DRIVER LICENSE,99 - UNKNOWN
16192023,21,NO CHARGES,W - WHITE,2 - PROOF OF LIABILITY INSURANCE,2018-01-05,FRIDAY,1 - MALE,"2 - WORN, DAMAGED",C - CLASS C,NONE,97 - NOT APPLICABLE,TX - TEXAS,1 - DRIVER LICENSE,A - SUSPECTED SERIOUS INJURY
16196720,18,NO DRIVER LICENSE NO INSURANCE,H - HISPANIC,no data,2018-01-05,FRIDAY,1 - MALE,1 - NOT WORN,5 - UNLICENSED,UNLICENSED,97 - NOT APPLICABLE,TX - TEXAS,4 - ID CARD,B - SUSPECTED MINOR INJURY
16189103,28,NO CHARGES,W - WHITE,2 - PROOF OF LIABILITY INSURANCE,2018-01-06,SATURDAY,1 - MALE,"3 - WORN, NOT DAMAGED",CM - CLASS C AND M,NONE,97 - NOT APPLICABLE,TX - TEXAS,1 - DRIVER LICENSE,B - SUSPECTED MINOR INJURY
16190861,46,NO CHARGES,B - BLACK,2 - PROOF OF LIABILITY INSURANCE,2018-01-06,SATURDAY,1 - MALE,"3 - WORN, NOT DAMAGED",BM - CLASS B AND M,PASSENGER,97 - NOT APPLICABLE,TX - TEXAS,1 - DRIVER LICENSE,N - NOT INJURED
16196075,39,NO CHARGES,H - HISPANIC,no data,2018-01-06,SATURDAY,1 - MALE,1 - NOT WORN,C - CLASS C,NONE,97 - NOT APPLICABLE,TX - TEXAS,1 - DRIVER LICENSE,A - SUSPECTED SERIOUS INJURY
16198730,no data,NO CHARGES,99 - UNKNOWN,no data,2018-01-06,SATURDAY,99 - UNKNOWN,99 - UNKNOWN IF WORN,99 - UNKNOWN,UNKNOWN,97 - NOT APPLICABLE,UN - UNKNOWN,99 - UNKNOWN,99 - UNKNOWN
16203083,26,UNSAFE SPEED (TXTRC 545.351),W - WHITE,2 - PROOF OF LIABILITY INSURANCE,2018-01-06,SATURDAY,1 - MALE,"4 - WORN, UNK DAMAGE",C - CLASS C,NONE,97 - NOT APPLICABLE,TX - TEXAS,1 - DRIVER LICENSE,B - SUSPECTED MINOR INJURY
