person_age,person_gender,person_ethnicity,person_injury_severity,driver_license_class,motorcycle_endorsed
37,1 - MALE,W - WHITE,A - SUSPECTED SERIOUS INJURY,C - CLASS C,False
30,1 - MALE,H - HISPANIC,C - POSSIBLE INJURY,C - CLASS C,False
20,1 - MALE,W - WHITE,B - SUSPECTED MINOR INJURY,C - CLASS C,False
21,1 - MALE,W - WHITE,A - SUSPECTED SERIOUS INJURY,C - CLASS C,False
18,1 - MALE,H - HISPANIC,B - SUSPECTED MINOR INJURY,5 - UNLICENSED,False
28,1 - MALE,W - WHITE,B - SUSPECTED MINOR INJURY,CM - CLASS C AND M,True
46,1 - MALE,B - BLACK,N - NOT INJURED,BM - CLASS B AND M,True
39,1 - MALE,H - HISPANIC,A - SUSPECTED SERIOUS INJURY,C - CLASS C,False
37,1 - MALE,W - WHITE,B - SUSPECTED MINOR INJURY,CM - CLASS C AND M,True
26,1 - MALE,W - WHITE,B - SUSPECTED MINOR INJURY,C - CLASS C,False
57,1 - MALE,W - WHITE,N - NOT INJURED,CM - CLASS C AND M,True
18,1 - MALE,H - HISPANIC,B - SUSPECTED MINOR INJURY,CM - CLASS C AND M,True
37,1 - MALE,B - BLACK,B - SUSPECTED MINOR INJURY,CM - CLASS C AND M,True
48,1 - MALE,H - HISPANIC,K - FATAL INJURY,CM - CLASS C AND M,True
34,1 - MALE,W - WHITE,B - SUSPECTED MINOR INJURY,C - CLASS C,False
47,1 - MALE,H - HISPANIC,N - NOT INJURED,CM - CLASS C AND M,True
28,1 - MALE,H - HISPANIC,B - SUSPECTED MINOR INJURY,C - CLASS C,False
23,2 - FEMALE,H - HISPANIC,C - POSSIBLE INJURY,C - CLASS C,False
41,1 - MALE,W - WHITE,K - FATAL INJURY,CM - CLASS C AND M,True
66,1 - MALE,W - WHITE,B - SUSPECTED MINOR INJURY,CM - CLASS C AND M,True
23,1 - MALE,W - WHITE,B - SUSPECTED MINOR INJURY,CM - CLASS C AND M,True
33,1 - MALE,W - WHITE,B - SUSPECTED MINOR INJURY,CM - CLASS C AND M,True
30,1 - MALE,W - WHITE,B - SUSPECTED MINOR INJURY,C - CLASS C,False
21,1 - MALE,H - HISPANIC,A - SUSPECTED SERIOUS INJURY,5 - UNLICENSED,False
26,1 - MALE,B - BLACK,K - FATAL INJURY,C - CLASS C,False
46,1 - MALE,W - WHITE,B - SUSPECTED MINOR INJURY,98 - OTHER/OUT OF STATE,False
22,1 - MALE,W - WHITE,K - FATAL INJURY,CM - CLASS C AND M,True
44,1 - MALE,W - WHITE,C - POSSIBLE INJURY,CM - CLASS C AND M,True
40,1 - MALE,W - WHITE,A - SUSPECTED SERIOUS INJURY,5 - UNLICENSED,False
38,2 - FEMALE,W - WHITE,A - SUSPECTED SERIOUS INJURY,CM - CLASS C AND M,True
20,1 - MALE,B - BLACK,N - NOT INJURED,CM - CLASS C AND M,True
21,1 - MALE,W - WHITE,B - SUSPECTED MINOR INJURY,CM - CLASS C AND M,True
54,1 - MALE,W - WHITE,B - SUSPECTED MINOR INJURY,CM - CLASS C AND M,True
40,1 - MALE,H - HISPANIC,B - SUSPECTED MINOR INJURY,C - CLASS C,False
60,1 - MALE,W - WHITE,A - SUSPECTED SERIOUS INJURY,CM - CLASS C AND M,True
28,1 - MALE,W - WHITE,K - FATAL INJURY,C - CLASS C,False
34,1 - MALE,W - WHITE,B - SUSPECTED MINOR INJURY,CM - CLASS C AND M,True
22,1 - MALE,W - WHITE,A - SUSPECTED SERIOUS INJURY,CM - CLASS C AND M,True
60,1 - MALE,B - BLACK,N - NOT INJURED,C - CLASS C,False
56,1 - MALE,B - BLACK,A - SUSPECTED SERIOUS INJURY,C - CLASS C,False
25,1 - MALE,H - HISPANIC,N - NOT INJURED,98 - OTHER/OUT OF STATE,False
28,1 - MALE,H - HISPANIC,B - SUSPECTED MINOR INJURY,A - CLASS A,False
17,1 - MALE,W - WHITE,N - NOT INJURED,C - CLASS C,False
27,1 - MALE,I - AMER. INDIAN/ALASKAN NATIVE,A - SUSPECTED SERIOUS INJURY,C - CLASS C,False
47,1 - MALE,W - WHITE,B - SUSPECTED MINOR INJURY,C - CLASS C,False
33,1 - MALE,H - HISPANIC,B - SUSPECTED MINOR INJURY,5 - UNLICENSED,False
22,2 - FEMALE,W - WHITE,C - POSSIBLE INJURY,CM - CLASS C AND M,True
45,1 - MALE,W - WHITE,C - POSSIBLE INJURY,C - CLASS C,False
51,1 - MALE,W - WHITE,B - SUSPECTED MINOR INJURY,C - CLASS C,False
61,1 - MALE,W - WHITE,B - SUSPECTED MINOR INJURY,BM - CLASS B AND M,True
27,1 - MALE,B - BLACK,B - SUSPECTED MINOR INJURY,C - CLASS C,False
75,1 - MALE,B - BLACK,C - POSSIBLE INJURY,CM - CLASS C AND M,True
59,1 - MALE,W - WHITE,B - SUSPECTED MINOR INJURY,AM - CLASS A AND M,True
29,1 - MALE,W - WHITE,N - NOT INJURED,CM - CLASS C AND M,True
65,1 - MALE,W - WHITE,B - SUSPECTED MINOR INJURY,CM - CLASS C AND M,True
49,1 - MALE,W - WHITE,B - SUSPECTED MINOR INJURY,CM - CLASS C AND M,True
33,1 - MALE,W - WHITE,B - SUSPECTED MINOR INJURY,CM - CLASS C AND M,True
63,1 - MALE,W - WHITE,C - POSSIBLE INJURY,CM - CLASS C AND M,True
23,1 - MALE,W - WHITE,C - POSSIBLE INJURY,AM - CLASS A AND M,True
65,1 - MALE,W - WHITE,B - SUSPECTED MINOR INJURY,C - CLASS C,False
36,1 - MALE,B - BLACK,C - POSSIBLE INJURY,CM - CLASS C AND M,True
41,1 - MALE,W - WHITE,B - SUSPECTED MINOR INJURY,CM - CLASS C AND M,True
55,1 - MALE,W - WHITE,A - SUSPECTED SERIOUS INJURY,CM - CLASS C AND M,True
21,1 - MALE,W - WHITE,C - POSSIBLE INJURY,CM - CLASS C AND M,True
70,1 - MALE,W - WHITE,B - SUSPECTED MINOR INJURY,CM - CLASS C AND M,True
20,1 - MALE,W - WHITE,N - NOT INJURED,CM - CLASS C AND M,True
57,1 - MALE,W - WHITE,N - NOT INJURED,CM - CLASS C AND M,True
26,1 - MALE,W - WHITE,N - NOT INJURED,AM - CLASS A AND M,True
22,1 - MALE,H - HISPANIC,B - SUSPECTED MINOR INJURY,CM - CLASS C AND M,True
40,1 - MALE,W - WHITE,K - FATAL INJURY,CM - CLASS C AND M,True
23,1 - MALE,A - ASIAN,C - POSSIBLE INJURY,M - CLASS M,True
33,1 - MALE,W - WHITE,A - SUSPECTED SERIOUS INJURY,5 - UNLICENSED,False
22,1 - MALE,H - HISPANIC,N - NOT INJURED,C - CLASS C,False
36,1 - MALE,W - WHITE,A - SUSPECTED SERIOUS INJURY,CM - CLASS C AND M,True
27,1 - MALE,H - HISPANIC,A - SUSPECTED SERIOUS INJURY,CM - CLASS C AND M,True
23,1 - MALE,I - AMER. INDIAN/ALASKAN NATIVE,N - NOT INJURED,C - CLASS C,False
55,1 - MALE,H - HISPANIC,A - SUSPECTED SERIOUS INJURY,C - CLASS C,False
49,1 - MALE,W - WHITE,C - POSSIBLE INJURY,CM - CLASS C AND M,True
48,1 - MALE,W - WHITE,K - FATAL INJURY,AM - CLASS A AND M,True
23,2 - FEMALE,W - WHITE,B - SUSPECTED MINOR INJURY,C - CLASS C,False
41,1 - MALE,W - WHITE,A - SUSPECTED SERIOUS INJURY,C - CLASS C,False
24,1 - MALE,W - WHITE,C - POSSIBLE INJURY,C - CLASS C,False
29,1 - MALE,W - WHITE,N - NOT INJURED,CM - CLASS C AND M,True
58,1 - MALE,H - HISPANIC,C - POSSIBLE INJURY,AM - CLASS A AND M,True
25,2 - FEMALE,B - BLACK,C - POSSIBLE INJURY,C - CLASS C,False
39,1 - MALE,H - HISPANIC,B - SUSPECTED MINOR INJURY,C - CLASS C,False
52,1 - MALE,W - WHITE,B - SUSPECTED MINOR INJURY,AM - CLASS A AND M,True
23,1 - MALE,B - BLACK,C - POSSIBLE INJURY,98 - OTHER/OUT OF STATE,False
49,1 - MALE,W - WHITE,A - SUSPECTED SERIOUS INJURY,C - CLASS C,False
64,1 - MALE,W - WHITE,A - SUSPECTED SERIOUS INJURY,CM - CLASS C AND M,True
45,1 - MALE,B - BLACK,B - SUSPECTED MINOR INJURY,A - CLASS A,False
29,1 - MALE,W - WHITE,A - SUSPECTED SERIOUS INJURY,C - CLASS C,False
21,1 - MALE,W - WHITE,B - SUSPECTED MINOR INJURY,5 - UNLICENSED,False
26,1 - MALE,W - WHITE,B - SUSPECTED MINOR INJURY,98 - OTHER/OUT OF STATE,False
67,1 - MALE,W - WHITE,B - SUSPECTED MINOR INJURY,CM - CLASS C AND M,True
62,1 - MALE,W - WHITE,A - SUSPECTED SERIOUS INJURY,AM - CLASS A AND M,True
42,2 - FEMALE,W - WHITE,B - SUSPECTED MINOR INJURY,CM - CLASS C AND M,True
33,1 - MALE,W - WHITE,A - SUSPECTED SERIOUS INJURY,98 - OTHER/OUT OF STATE,False
57,1 - MALE,W - WHITE,N - NOT INJURED,CM - CLASS C AND M,True
27,1 - MALE,B - BLACK,C - POSSIBLE INJURY,98 - OTHER/OUT OF STATE,False
39,1 - MALE,H - HISPANIC,N - NOT INJURED,A - CLASS A,False
28,1 - MALE,W - WHITE,C - POSSIBLE INJURY,CM - CLASS C AND M,True
30,1 - MALE,W - WHITE,A - SUSPECTED SERIOUS INJURY,C - CLASS C,False
54,1 - MALE,W - WHITE,B - SUSPECTED MINOR INJURY,A - CLASS A,False
37,1 - MALE,W - WHITE,B - SUSPECTED MINOR INJURY,CM - CLASS C AND M,True
37,1 - MALE,H - HISPANIC,N - NOT INJURED,CM - CLASS C AND M,True
27,1 - MALE,W - WHITE,B - SUSPECTED MINOR INJURY,C - CLASS C,False
