,crash_id,person_age,charge,person_ethnicity,crash_date,day_of_week,person_gender,person_helmet,driver_license_class,has_motocycle_endorsment,driver_license_state,driver_license_type,person_injury_severity
0,16189632.0,37,operate unregistered motor vehicle,w - white,2018-01-01,monday,1 - male,1 - not worn,c - class c,0,tx - texas,1 - driver license,a - suspected serious injury
1,16203470.0,30,"no class ""m"" license",h - hispanic,2018-01-04,thursday,1 - male,"3 - worn, not damaged",c - class c,0,tx - texas,1 - driver license,b - suspected minor injury
3,16192023.0,21,no charges,w - white,2018-01-05,friday,1 - male,"2 - worn, damaged",c - class c,0,tx - texas,1 - driver license,a - suspected serious injury
4,16196720.0,18,no driver license no insurance,h - hispanic,2018-01-05,friday,1 - male,1 - not worn,5 - unlicensed,0,tx - texas,4 - id card,b - suspected minor injury
5,16189103.0,28,no charges,w - white,2018-01-06,saturday,1 - male,"3 - worn, not damaged",cm - class c and m,1,tx - texas,1 - driver license,b - suspected minor injury
6,16190861.0,46,no charges,b - black,2018-01-06,saturday,1 - male,"3 - worn, not damaged",bm - class b and m,1,tx - texas,1 - driver license,n - not injured
7,16196075.0,39,no charges,h - hispanic,2018-01-06,saturday,1 - male,1 - not worn,c - class c,0,tx - texas,1 - driver license,a - suspected serious injury
9,16203083.0,26,unsafe speed (txtrc 545.351),w - white,2018-01-06,saturday,1 - male,"4 - worn, unk damage",c - class c,0,tx - texas,1 - driver license,b - suspected minor injury
10,16211875.0,57,no charges,w - white,2018-01-06,saturday,1 - male,"3 - worn, not damaged",cm - class c and m,1,tx - texas,1 - driver license,n - not injured
11,16204997.0,18,unsafe speed,h - hispanic,2018-01-07,sunday,1 - male,"4 - worn, unk damage",cm - class c and m,1,tx - texas,1 - driver license,b - suspected minor injury
13,16978915.0,48,no charges,h - hispanic,2018-01-07,sunday,1 - male,"2 - worn, damaged",cm - class c and m,1,tx - texas,1 - driver license,k - fatal injury
14,16189210.0,34,"m059955, m059955",w - white,2018-01-08,monday,1 - male,"2 - worn, damaged",c - class c,0,tx - texas,1 - driver license,b - suspected minor injury
15,16193829.0,47,no charges,h - hispanic,2018-01-08,monday,1 - male,"3 - worn, not damaged",cm - class c and m,1,tx - texas,1 - driver license,n - not injured
16,16195165.0,28,no charges,h - hispanic,2018-01-08,monday,1 - male,1 - not worn,c - class c,0,tx - texas,1 - driver license,b - suspected minor injury
17,16196935.0,23,"turned when unsafe, no tx dl class m",h - hispanic,2018-01-08,monday,2 - female,1 - not worn,c - class c,0,tx - texas,1 - driver license,b - suspected minor injury
18,16190900.0,41,no charges,w - white,2018-01-09,tuesday,1 - male,"2 - worn, damaged",cm - class c and m,1,tx - texas,1 - driver license,k - fatal injury
19,16194513.0,66,no charges,w - white,2018-01-09,tuesday,1 - male,1 - not worn,cm - class c and m,1,tx - texas,1 - driver license,b - suspected minor injury
20,16194515.0,23,no charges,w - white,2018-01-09,tuesday,1 - male,1 - not worn,cm - class c and m,1,tx - texas,1 - driver license,b - suspected minor injury
21,16195540.0,33,no charges,w - white,2018-01-09,tuesday,1 - male,"2 - worn, damaged",cm - class c and m,1,tx - texas,1 - driver license,b - suspected minor injury
22,16198808.0,30,no dl (expired),w - white,2018-01-09,tuesday,1 - male,"2 - worn, damaged",c - class c,0,tx - texas,1 - driver license,b - suspected minor injury
23,16980827.0,21,no charges,h - hispanic,2018-01-09,tuesday,1 - male,"4 - worn, unk damage",5 - unlicensed,0,tx - texas,4 - id card,a - suspected serious injury
24,16190950.0,26,no charges,b - black,2018-01-10,wednesday,1 - male,"2 - worn, damaged",c - class c,0,tx - texas,1 - driver license,k - fatal injury
25,16192546.0,46,no charges,w - white,2018-01-10,wednesday,1 - male,"2 - worn, damaged",98 - other/out of state,0,mt - montana,1 - driver license,b - suspected minor injury
26,16192883.0,22,no charges,w - white,2018-01-10,wednesday,1 - male,"2 - worn, damaged",cm - class c and m,1,tx - texas,1 - driver license,k - fatal injury
27,16192893.0,44,no charges,w - white,2018-01-10,wednesday,1 - male,"3 - worn, not damaged",cm - class c and m,1,tx - texas,1 - driver license,b - suspected minor injury
28,16193187.0,40,no charges,w - white,2018-01-10,wednesday,1 - male,"2 - worn, damaged",5 - unlicensed,0,,5 - unlicensed,a - suspected serious injury
29,16192161.0,38,no charges,w - white,2018-01-11,thursday,2 - female,"2 - worn, damaged",cm - class c and m,1,tx - texas,1 - driver license,a - suspected serious injury
30,16193412.0,20,no charges,b - black,2018-01-11,thursday,1 - male,"4 - worn, unk damage",99 - unknown,0,un - unknown,99 - unknown,n - not injured
31,16196387.0,21,no charges,w - white,2018-01-11,thursday,1 - male,"4 - worn, unk damage",cm - class c and m,1,tx - texas,1 - driver license,b - suspected minor injury
32,16196864.0,54,no charges,w - white,2018-01-11,thursday,1 - male,"3 - worn, not damaged",cm - class c and m,1,tx - texas,1 - driver license,b - suspected minor injury
33,16194597.0,40,no charges,h - hispanic,2018-01-12,friday,1 - male,1 - not worn,c - class c,0,tx - texas,1 - driver license,b - suspected minor injury
34,16195657.0,60,no charges,w - white,2018-01-12,friday,1 - male,1 - not worn,cm - class c and m,1,tx - texas,1 - driver license,a - suspected serious injury
35,16197960.0,28,no charges,w - white,2018-01-12,friday,1 - male,"2 - worn, damaged",c - class c,0,tx - texas,1 - driver license,k - fatal injury
36,16195826.0,34,no charges,w - white,2018-01-13,saturday,1 - male,1 - not worn,cm - class c and m,1,tx - texas,1 - driver license,b - suspected minor injury
37,16196920.0,22,unsafe speed,w - white,2018-01-13,saturday,1 - male,"2 - worn, damaged",cm - class c and m,1,tx - texas,1 - driver license,a - suspected serious injury
38,16197141.0,60,no charges,b - black,2018-01-13,saturday,1 - male,"3 - worn, not damaged",c - class c,0,tx - texas,1 - driver license,n - not injured
39,16201468.0,56,no charges,b - black,2018-01-13,saturday,1 - male,"3 - worn, not damaged",c - class c,0,tx - texas,1 - driver license,a - suspected serious injury
40,16202353.0,25,no charges,h - hispanic,2018-01-13,saturday,1 - male,"4 - worn, unk damage",98 - other/out of state,0,wa - washington,1 - driver license,n - not injured
41,16207750.0,28,no charges,h - hispanic,2018-01-13,saturday,1 - male,1 - not worn,a - class a,0,tx - texas,2 - commercial driver lic.,b - suspected minor injury
42,16195997.0,17,"fleeing police officer, no motorcycle endorsement",w - white,2018-01-14,sunday,1 - male,"3 - worn, not damaged",c - class c,0,tx - texas,1 - driver license,n - not injured
43,16196704.0,27,no charges,i - amer. indian/alaskan native,2018-01-14,sunday,1 - male,"3 - worn, not damaged",c - class c,0,tx - texas,1 - driver license,a - suspected serious injury
44,16201236.0,47,no charges,w - white,2018-01-14,sunday,1 - male,"2 - worn, damaged",c - class c,0,tx - texas,1 - driver license,b - suspected minor injury
45,16201539.0,33,driving while intoxicated 1st offense 0.15 or more,h - hispanic,2018-01-14,sunday,1 - male,"3 - worn, not damaged",5 - unlicensed,0,tx - texas,4 - id card,b - suspected minor injury
46,16202512.0,22,no charges,w - white,2018-01-14,sunday,2 - female,"2 - worn, damaged",cm - class c and m,1,tx - texas,1 - driver license,b - suspected minor injury
