,person_age,person_ethnicity,person_gender,has_motocycle_endorsment,person_injury_severity,vehicle_body_style,vehicle_color,vehicle_defect_1,vehicle_make,vehicle_model_name,vehicle_model_year
0,37,w - white,1 - male,0,a - suspected serious injury,mc - motorcycle,blu - blue,98 - other  (explain in narrative),other (explain in narrative),other (explain in narrative) (other (explain in narrative)),2007.0
1,30,h - hispanic,1 - male,0,b - suspected minor injury,mc - motorcycle,gry - gray,98 - other  (explain in narrative),suzuki,gsx-r600 (suzuki),2004.0
2,21,w - white,1 - male,0,a - suspected serious injury,mc - motorcycle,blu - blue,98 - other  (explain in narrative),yamaha,yzfr6 (yamaha),2017.0
3,18,h - hispanic,1 - male,0,b - suspected minor injury,mc - motorcycle,blu - blue,98 - other  (explain in narrative),yamaha,rz500 (yamaha),2002.0
4,28,w - white,1 - male,1,b - suspected minor injury,mc - motorcycle,blk - black,98 - other  (explain in narrative),harley-davidson,fxdf (harley-davidson),2009.0
5,46,b - black,1 - male,1,n - not injured,mc - motorcycle,red - red,98 - other  (explain in narrative),harley-davidson,fxb (harley-davidson),2018.0
6,39,h - hispanic,1 - male,0,a - suspected serious injury,mc - motorcycle,blu - blue,98 - other  (explain in narrative),yamaha,unknown (yamaha),2007.0
7,26,w - white,1 - male,0,b - suspected minor injury,mc - motorcycle,whi - white,98 - other  (explain in narrative),honda,cbr600 (honda),1989.0
8,57,w - white,1 - male,1,n - not injured,mc - motorcycle,blk - black,98 - other  (explain in narrative),harley-davidson,flhp (harley-davidson),2013.0
9,18,h - hispanic,1 - male,1,b - suspected minor injury,mc - motorcycle,red - red,98 - other  (explain in narrative),kawasaki,unknown (kawasaki),2012.0
10,48,h - hispanic,1 - male,1,k - fatal injury,mc - motorcycle,blk - black,98 - other  (explain in narrative),harley-davidson,unknown (harley-davidson),2003.0
11,34,w - white,1 - male,0,b - suspected minor injury,mc - motorcycle,blu - blue,98 - other  (explain in narrative),honda,vt700 (honda),2007.0
12,47,h - hispanic,1 - male,1,n - not injured,pm - police motorcycle,blk - black,98 - other  (explain in narrative),kawasaki,zg1000 (kawasaki),2013.0
13,28,h - hispanic,1 - male,0,b - suspected minor injury,mc - motorcycle,red - red,98 - other  (explain in narrative),honda,xr100 (honda),2003.0
14,23,h - hispanic,2 - female,0,b - suspected minor injury,mc - motorcycle,whi - white,98 - other  (explain in narrative),harley-davidson,xl883 (harley-davidson),2018.0
15,41,w - white,1 - male,1,k - fatal injury,mc - motorcycle,red - red,98 - other  (explain in narrative),honda,cb600 (honda),2002.0
16,66,w - white,1 - male,1,b - suspected minor injury,mc - motorcycle,blk - black,98 - other  (explain in narrative),harley-davidson,unknown (harley-davidson),2016.0
17,23,w - white,1 - male,1,b - suspected minor injury,mc - motorcycle,blk - black,98 - other  (explain in narrative),kawasaki,ex250 (kawasaki),2016.0
18,33,w - white,1 - male,1,b - suspected minor injury,mc - motorcycle,blk - black,98 - other  (explain in narrative),kawasaki,unknown (harley-davidson),2012.0
19,30,w - white,1 - male,0,b - suspected minor injury,mc - motorcycle,ple - purple,98 - other  (explain in narrative),yamaha,unknown (yamaha),2003.0
20,21,h - hispanic,1 - male,0,a - suspected serious injury,mc - motorcycle,blk - black,98 - other  (explain in narrative),cpi motor company,unknown (cpi motor company),2013.0
