crash_id,person_age,person_ethnicity,person_gender,has_motocycle_endorsment,person_injury_severity,vehicle_body_style,vehicle_color,vehicle_make,vehicle_model,vehicle_model_year
16189632,37,w - white,1 - male,0,a - suspected serious injury,mc - motorcycle,blu - blue,harley-davidson,fld,2007
16203470,30,h - hispanic,1 - male,0,b - suspected minor injury,mc - motorcycle,gry - gray,suzuki,gsx-r600,2004
16192023,21,w - white,1 - male,0,a - suspected serious injury,mc - motorcycle,blu - blue,yamaha,yzfr6,2017
16196720,18,h - hispanic,1 - male,0,b - suspected minor injury,mc - motorcycle,blu - blue,yamaha,rz500,2002
16189103,28,w - white,1 - male,1,b - suspected minor injury,mc - motorcycle,blk - black,harley-davidson,fxdf,2009
16190861,46,b - black,1 - male,1,n - not injured,mc - motorcycle,red - red,harley-davidson,fxb,2018
16196075,39,h - hispanic,1 - male,0,a - suspected serious injury,mc - motorcycle,blu - blue,yamaha,yzfr1,2007
16203083,26,w - white,1 - male,0,b - suspected minor injury,mc - motorcycle,whi - white,honda,cbr600,1989
16211875,57,w - white,1 - male,1,n - not injured,mc - motorcycle,blk - black,harley-davidson,flhp,2013
16204997,18,h - hispanic,1 - male,1,b - suspected minor injury,mc - motorcycle,red - red,kawasaki,ninja zx,2012
16978915,48,h - hispanic,1 - male,1,k - fatal injury,mc - motorcycle,blk - black,harley-davidson,fld,2003
16189210,34,w - white,1 - male,0,b - suspected minor injury,mc - motorcycle,blu - blue,honda,vt700,2007
16193829,47,h - hispanic,1 - male,1,n - not injured,pm - police motorcycle,blk - black,kawasaki,zg1000,2013
16195165,28,h - hispanic,1 - male,0,b - suspected minor injury,mc - motorcycle,red - red,honda,xr100,2003
16196935,23,h - hispanic,2 - female,0,b - suspected minor injury,mc - motorcycle,whi - white,harley-davidson,xl883,2018
16190900,41,w - white,1 - male,1,k - fatal injury,mc - motorcycle,red - red,honda,cb600,2002
16194513,66,w - white,1 - male,1,b - suspected minor injury,mc - motorcycle,blk - black,harley-davidson,fld,2016
16194515,23,w - white,1 - male,1,b - suspected minor injury,mc - motorcycle,blk - black,kawasaki,ex250,2016
16195540,33,w - white,1 - male,1,b - suspected minor injury,mc - motorcycle,blk - black,kawasaki,ninja zx,2012
16198808,30,w - white,1 - male,0,b - suspected minor injury,mc - motorcycle,ple - purple,yamaha,yzfr1,2003
16980827,21,h - hispanic,1 - male,0,a - suspected serious injury,mc - motorcycle,blk - black,cpi motor company,unknown,2013
16190950,26,b - black,1 - male,0,k - fatal injury,mc - motorcycle,blu - blue,kawasaki,ex300,2017
16192546,46,w - white,1 - male,0,b - suspected minor injury,mc - motorcycle,mar - maroon,suzuki,gsx,1988
16192883,22,w - white,1 - male,1,k - fatal injury,mc - motorcycle,blk - black,honda,cbr600,2008
16192893,44,w - white,1 - male,1,b - suspected minor injury,mc - motorcycle,blk - black,harley-davidson,flhr,2012
16193187,40,w - white,1 - male,0,a - suspected serious injury,mc - motorcycle,red - red,harley-davidson,flhp,2006
16192161,38,w - white,2 - female,1,a - suspected serious injury,mc - motorcycle,yel - yellow,harley-davidson,xl1200,2007
16193412,20,b - black,1 - male,0,n - not injured,mc - motorcycle,blk - black,suzuki,gsx,2007
16196387,21,w - white,1 - male,1,b - suspected minor injury,mc - motorcycle,blk - black,kawasaki,ninja zx,2017
16196864,54,w - white,1 - male,1,b - suspected minor injury,mc - motorcycle,blk - black,bmw,r1100,2
16194597,40,h - hispanic,1 - male,0,b - suspected minor injury,mc - motorcycle,blk - black,harley-davidson,fld,2016
16195657,60,w - white,1 - male,1,a - suspected serious injury,mc - motorcycle,blu - blue,harley-davidson,flhp,2003
16197960,28,w - white,1 - male,0,k - fatal injury,mc - motorcycle,blu - blue,suzuki,gsx-r1000,2005
16195826,34,w - white,1 - male,1,b - suspected minor injury,mc - motorcycle,blk - black,harley-davidson,fld,2005
16196920,22,w - white,1 - male,1,a - suspected serious injury,mc - motorcycle,sil - silver,honda,cbr600,2003
16197141,60,b - black,1 - male,0,n - not injured,mc - motorcycle,blu - blue,harley-davidson,fld,2007
16201468,56,b - black,1 - male,0,a - suspected serious injury,mc - motorcycle,red - red,harley-davidson,fld,2007
16202353,25,h - hispanic,1 - male,0,n - not injured,mc - motorcycle,blu - blue,yamaha,yzfr6,2007
16207750,28,h - hispanic,1 - male,0,b - suspected minor injury,mc - motorcycle,blk - black,yamaha,xvs650,2015
16195997,17,w - white,1 - male,0,n - not injured,mc - motorcycle,blu - blue,honda,cbr1000,2008
16196704,27,i - amer. indian/alaskan native,1 - male,0,a - suspected serious injury,mc - motorcycle,red - red,honda,cbr600,2005
16201236,47,w - white,1 - male,0,b - suspected minor injury,mc - motorcycle,ong - orange,kawasaki,zx600,2
16201539,33,h - hispanic,1 - male,0,b - suspected minor injury,mc - motorcycle,blk - black,harley-davidson,fld,2016
16202512,22,w - white,2 - female,1,b - suspected minor injury,mc - motorcycle,whi - white,kawasaki,vulcan 2000,2015
16207275,45,w - white,1 - male,0,b - suspected minor injury,mc - motorcycle,blu - blue,harley-davidson,flh80,2007
16210409,51,w - white,1 - male,0,b - suspected minor injury,mc - motorcycle,whi - white,harley-davidson,flhp,2016
16198322,61,w - white,1 - male,1,b - suspected minor injury,mc - motorcycle,ong - orange,honda,vtx1800,2002
16199789,27,b - black,1 - male,0,b - suspected minor injury,mc - motorcycle,blu - blue,kawasaki,ninja zx,2005
16206294,75,b - black,1 - male,1,b - suspected minor injury,mc - motorcycle,blu - blue,bmw,r1200,2012
16209550,59,w - white,1 - male,1,b - suspected minor injury,mc - motorcycle,blk - black,honda,cbr600,2004
16259326,29,w - white,1 - male,1,n - not injured,mc - motorcycle,blk - black,yamaha,yzfr1,2007
16333091,65,w - white,1 - male,1,b - suspected minor injury,mc - motorcycle,bro - brown,harley-davidson,fld,2014
16205342,49,w - white,1 - male,1,b - suspected minor injury,pm - police motorcycle,whi - white,bmw,r1200,2016
16205706,33,w - white,1 - male,1,b - suspected minor injury,mc - motorcycle,blk - black,ducati,monster,2013
16203652,63,w - white,1 - male,1,b - suspected minor injury,mc - motorcycle,red - red,honda,gl1100,2003
16208100,23,w - white,1 - male,1,b - suspected minor injury,mc - motorcycle,mar - maroon,kawasaki,zg1200,2001
16211075,65,w - white,1 - male,0,b - suspected minor injury,mc - motorcycle,ong - orange,harley-davidson,fld,2017
16212293,36,b - black,1 - male,1,b - suspected minor injury,mc - motorcycle,whi - white,kawasaki,zx1000,2017
16206624,41,w - white,1 - male,1,b - suspected minor injury,mc - motorcycle,blk - black,harley-davidson,fltrx,2018
16206829,55,w - white,1 - male,1,a - suspected serious injury,mc - motorcycle,red - red,harley-davidson,fld,2016
16209449,21,w - white,1 - male,1,b - suspected minor injury,mc - motorcycle,blk - black,harley-davidson,fxdl,2017
16254349,70,w - white,1 - male,1,b - suspected minor injury,mc - motorcycle,blk - black,harley-davidson,flhtcutg,2017
16209160,20,w - white,1 - male,1,n - not injured,mc - motorcycle,whi - white,kawasaki,ex650,2017
16210352,57,w - white,1 - male,1,n - not injured,mc - motorcycle,blk - black,harley-davidson,fld,2017
16212341,26,w - white,1 - male,1,n - not injured,mc - motorcycle,blk - black,harley-davidson,fld,2013
16212987,22,h - hispanic,1 - male,1,b - suspected minor injury,mc - motorcycle,red - red,kawasaki,ninja zx,2016
16602409,40,w - white,1 - male,1,k - fatal injury,mc - motorcycle,blu - blue,honda,crf1000,2002
16212195,23,a - asian,1 - male,1,b - suspected minor injury,mc - motorcycle,blu - blue,suzuki,gsx750,2015
16860426,33,w - white,1 - male,0,a - suspected serious injury,mc - motorcycle,blk - black,kawasaki,ninja zx,2015
16320457,22,h - hispanic,1 - male,0,n - not injured,mc - motorcycle,whi - white,harley-davidson,fld,2004
16323750,36,w - white,1 - male,1,a - suspected serious injury,mc - motorcycle,blu - blue,honda,vt1300,2015
16259293,27,h - hispanic,1 - male,1,a - suspected serious injury,mc - motorcycle,blu - blue,suzuki,gsx,2012
16255449,23,i - amer. indian/alaskan native,1 - male,0,n - not injured,mc - motorcycle,blu - blue,suzuki,an400,2007
16257128,55,h - hispanic,1 - male,0,a - suspected serious injury,mc - motorcycle,blk - black,harley-davidson,fld,2005
16255069,49,w - white,1 - male,1,b - suspected minor injury,mc - motorcycle,blu - blue,harley-davidson,fld,2008
16268900,48,w - white,1 - male,1,k - fatal injury,mc - motorcycle,blu - blue,harley-davidson,flhr,2016
16270130,23,w - white,2 - female,0,b - suspected minor injury,mc - motorcycle,blk - black,harley-davidson,fld,2003
16258314,41,w - white,1 - male,0,a - suspected serious injury,mc - motorcycle,blu - blue,harley-davidson,flhtpi,2006
16254987,24,w - white,1 - male,0,b - suspected minor injury,mc - motorcycle,blk - black,yamaha,yzfr1,2016
16258499,29,w - white,1 - male,1,n - not injured,mc - motorcycle,red - red,honda,cbr600,2013
16261200,58,h - hispanic,1 - male,1,b - suspected minor injury,mc - motorcycle,red - red,honda,cbr600,1999
16253542,25,b - black,2 - female,0,b - suspected minor injury,mc - motorcycle,blk - black,harley-davidson,xlh883,2016
16254192,39,h - hispanic,1 - male,0,b - suspected minor injury,mc - motorcycle,red - red,yamaha,yzfr1,2014
16254203,52,w - white,1 - male,1,b - suspected minor injury,mc - motorcycle,blk - black,harley-davidson,fld,2001
16254391,23,b - black,1 - male,0,b - suspected minor injury,mc - motorcycle,blk - black,suzuki,gsx,2008
16261729,49,w - white,1 - male,0,a - suspected serious injury,mc - motorcycle,blk - black,harley-davidson,fxdb,2009
16264647,64,w - white,1 - male,1,a - suspected serious injury,mc - motorcycle,blu - blue,harley-davidson,fld,1997
16273456,45,b - black,1 - male,0,b - suspected minor injury,mc - motorcycle,red - red,honda,vtx1300,2006
16254725,29,w - white,1 - male,0,a - suspected serious injury,mc - motorcycle,blk - black,genuine scooter co.,buddy,2009
16257931,21,w - white,1 - male,0,b - suspected minor injury,mc - motorcycle,blu - blue,buell,blast,2005
16264714,26,w - white,1 - male,0,b - suspected minor injury,mc - motorcycle,whi - white,yamaha,fz6,2009
16264779,67,w - white,1 - male,1,b - suspected minor injury,mc - motorcycle,blk - black,bmw,r1200,2006
16258442,62,w - white,1 - male,1,a - suspected serious injury,mc - motorcycle,blk - black,harley-davidson,fld,2007
16261379,42,w - white,2 - female,1,b - suspected minor injury,mc - motorcycle,blk - black,victory motorcycles,cross country,2012
