latitude,longitude,person_injury_severity
28.04319507,-97.9290595,A - SUSPECTED SERIOUS INJURY
26.29303508,-98.34886112,C - POSSIBLE INJURY
30.46717132,-97.8333446,99 - UNKNOWN
29.95793172,-95.64982499,A - SUSPECTED SERIOUS INJURY
26.2246359,-98.24724129,B - SUSPECTED MINOR INJURY
32.69214274,-95.41190794,B - SUSPECTED MINOR INJURY
27.590541,-99.46957683,N - NOT INJURED
29.30752366,-97.13448277,A - SUSPECTED SERIOUS INJURY
27.67554671,-97.29900708,99 - UNKNOWN
31.87714733,-98.7886317,B - SUSPECTED MINOR INJURY
30.00071177,-95.42605918,N - NOT INJURED
30.52517899,-96.09301751,B - SUSPECTED MINOR INJURY
29.83085393,-95.25346312,99 - UNKNOWN
32.84545986,-97.53974277,K - FATAL INJURY
29.5709591,-98.64398907,B - SUSPECTED MINOR INJURY
29.90966981,-97.68023455,N - NOT INJURED
29.91687733,-95.29095441,B - SUSPECTED MINOR INJURY
25.94492566,-97.4364727,C - POSSIBLE INJURY
30.08602524,-97.50803772,K - FATAL INJURY
30.43305582,-97.66986311,B - SUSPECTED MINOR INJURY
no data,no data,B - SUSPECTED MINOR INJURY
32.39193626,-97.38936592,B - SUSPECTED MINOR INJURY
29.78508581,-95.72076807,B - SUSPECTED MINOR INJURY
32.6849667,-97.28383934,A - SUSPECTED SERIOUS INJURY
32.73486493,-97.18117366,K - FATAL INJURY
29.42685341,-98.50104666,B - SUSPECTED MINOR INJURY
32.83850883,-97.05922033,K - FATAL INJURY
27.71814369,-97.39142713,C - POSSIBLE INJURY
no data,no data,A - SUSPECTED SERIOUS INJURY
33.04637909,-97.00861359,A - SUSPECTED SERIOUS INJURY
31.07760201,-97.68737874,N - NOT INJURED
30.0011877,-97.86749607,B - SUSPECTED MINOR INJURY
33.03904566,-96.70364333,B - SUSPECTED MINOR INJURY
29.33801808,-98.55143049,B - SUSPECTED MINOR INJURY
29.44162277,-95.07096295,A - SUSPECTED SERIOUS INJURY
29.72853471,-95.46130236,K - FATAL INJURY
29.54193495,-98.63817137,B - SUSPECTED MINOR INJURY
32.47085334,-97.11455382,A - SUSPECTED SERIOUS INJURY
28.96948201,-95.97538663,N - NOT INJURED
30.23230378,-97.79306613,A - SUSPECTED SERIOUS INJURY
30.60994377,-97.60076642,N - NOT INJURED
25.99358508,-97.60259176,B - SUSPECTED MINOR INJURY
33.14449995,-97.06511387,N - NOT INJURED
29.77498003,-95.5017577,A - SUSPECTED SERIOUS INJURY
32.85166903,-96.93439385,B - SUSPECTED MINOR INJURY
30.45660204,-97.66650767,B - SUSPECTED MINOR INJURY
32.39073311,-99.33866156,C - POSSIBLE INJURY
29.81269451,-94.99929898,C - POSSIBLE INJURY
32.44634711,-95.06350305,B - SUSPECTED MINOR INJURY
no data,no data,B - SUSPECTED MINOR INJURY
29.40447497,-98.44651233,B - SUSPECTED MINOR INJURY
29.52570639,-98.71820599,C - POSSIBLE INJURY
32.06534913,-95.46606822,B - SUSPECTED MINOR INJURY
29.47218496,-98.49170231,N - NOT INJURED
33.09848432,-96.67896526,B - SUSPECTED MINOR INJURY
30.51871124,-97.67325818,B - SUSPECTED MINOR INJURY
30.24115141,-97.72769863,B - SUSPECTED MINOR INJURY
31.47483826,-96.92510986,C - POSSIBLE INJURY
29.78032272,-95.8129469,C - POSSIBLE INJURY
32.71956426,-96.66951294,B - SUSPECTED MINOR INJURY
30.10987023,-94.12548119,C - POSSIBLE INJURY
34.78754944,-101.54665724,B - SUSPECTED MINOR INJURY
33.08489603,-97.29783153,A - SUSPECTED SERIOUS INJURY
32.99842074,-97.03700699,C - POSSIBLE INJURY
30.69474195,-96.29346058,B - SUSPECTED MINOR INJURY
29.2191649,-94.92390323,N - NOT INJURED
33.87755413,-98.50992207,N - NOT INJURED
no data,no data,N - NOT INJURED
28.70166197,-96.24218834,B - SUSPECTED MINOR INJURY
32.69110439,-96.63248716,K - FATAL INJURY
31.77374885,-106.36942305,C - POSSIBLE INJURY
32.76639661,-96.91427283,A - SUSPECTED SERIOUS INJURY
29.62300301,-98.29076385,N - NOT INJURED
32.93438786,-96.70798304,A - SUSPECTED SERIOUS INJURY
29.67644371,-95.12325191,A - SUSPECTED SERIOUS INJURY
33.58818433,-101.86990313,N - NOT INJURED
30.35724447,-103.64162213,A - SUSPECTED SERIOUS INJURY
32.73494278,-97.22511852,C - POSSIBLE INJURY
30.14060391,-97.82662061,K - FATAL INJURY
29.99913049,-95.2592329,B - SUSPECTED MINOR INJURY
32.45279861,-97.2936468,A - SUSPECTED SERIOUS INJURY
33.42781667,-102.14442909,C - POSSIBLE INJURY
32.39058709,-97.2136853,N - NOT INJURED
31.79677484,-106.46140032,C - POSSIBLE INJURY
29.90552781,-95.41242314,C - POSSIBLE INJURY
32.7912558,-96.88436153,B - SUSPECTED MINOR INJURY
32.20061108,-96.89706397,B - SUSPECTED MINOR INJURY
31.89837321,-106.42058575,C - POSSIBLE INJURY
33.32728474,-94.08894699,A - SUSPECTED SERIOUS INJURY
28.16177726,-97.33466787,A - SUSPECTED SERIOUS INJURY
29.94472564,-95.46548374,B - SUSPECTED MINOR INJURY
no data,no data,A - SUSPECTED SERIOUS INJURY
31.87009935,-95.59991186,B - SUSPECTED MINOR INJURY
29.36009498,-98.50388231,B - SUSPECTED MINOR INJURY
29.9296595,-99.80044111,B - SUSPECTED MINOR INJURY
32.45850201,-97.34171046,A - SUSPECTED SERIOUS INJURY
30.55231873,-95.23891407,B - SUSPECTED MINOR INJURY
33.75354238,-95.60300379,A - SUSPECTED SERIOUS INJURY
30.22276141,-98.84391411,N - NOT INJURED
29.78435559,-95.51967737,C - POSSIBLE INJURY
no data,no data,N - NOT INJURED
33.02655258,-97.27894319,C - POSSIBLE INJURY
30.38664002,-104.24469425,A - SUSPECTED SERIOUS INJURY
32.4160831,-97.71863974,B - SUSPECTED MINOR INJURY
29.98354763,-95.47853402,99 - UNKNOWN
29.27634023,-98.67371437,N - NOT INJURED
32.56334899,-99.79019578,B - SUSPECTED MINOR INJURY
29.56051207,-98.03277193,A - SUSPECTED SERIOUS INJURY
29.85311267,-95.56959627,A - SUSPECTED SERIOUS INJURY
31.65666719,-100.03991005,B - SUSPECTED MINOR INJURY
29.84420633,-95.70147995,N - NOT INJURED
29.80927318,-95.45778728,C - POSSIBLE INJURY
30.44924282,-97.70331318,B - SUSPECTED MINOR INJURY
32.48588271,-94.48537866,99 - UNKNOWN
29.54522085,-95.15271929,B - SUSPECTED MINOR INJURY
29.92992549,-95.58989641,B - SUSPECTED MINOR INJURY
31.7294565,-95.15309487,B - SUSPECTED MINOR INJURY
29.67969777,-95.09659808,99 - UNKNOWN
29.49603418,-98.33788301,B - SUSPECTED MINOR INJURY
30.02867,-95.42961306,A - SUSPECTED SERIOUS INJURY
29.15556502,-98.44433234,K - FATAL INJURY
27.73594937,-97.43124052,N - NOT INJURED
26.34393083,-97.86189516,B - SUSPECTED MINOR INJURY
31.75468802,-106.27556162,B - SUSPECTED MINOR INJURY
31.85147254,-106.56143745,C - POSSIBLE INJURY
29.4616714,-98.50795571,B - SUSPECTED MINOR INJURY
32.48991074,-100.2393414,99 - UNKNOWN
31.99275974,-102.15583665,B - SUSPECTED MINOR INJURY
33.72126298,-96.58539328,B - SUSPECTED MINOR INJURY
30.29082477,-97.74700245,N - NOT INJURED
35.434363,-101.86233338,C - POSSIBLE INJURY
31.76228485,-106.43713034,C - POSSIBLE INJURY
33.41787632,-97.17574286,A - SUSPECTED SERIOUS INJURY
32.80618247,-95.49416489,N - NOT INJURED
29.77085585,-95.16588432,N - NOT INJURED
33.25597126,-97.17758378,N - NOT INJURED
32.44417444,-99.80273184,B - SUSPECTED MINOR INJURY
32.42098034,-95.99894295,B - SUSPECTED MINOR INJURY
29.56478238,-95.06956749,B - SUSPECTED MINOR INJURY
32.97549925,-96.73455798,B - SUSPECTED MINOR INJURY
32.85152565,-96.66624891,C - POSSIBLE INJURY
32.38685723,-100.9578786,C - POSSIBLE INJURY
30.66886182,-97.005908,C - POSSIBLE INJURY
30.61340181,-96.34408198,A - SUSPECTED SERIOUS INJURY
33.04240421,-96.80662606,A - SUSPECTED SERIOUS INJURY
29.33314499,-98.49763232,B - SUSPECTED MINOR INJURY
29.8016348,-95.44215159,A - SUSPECTED SERIOUS INJURY
32.93438424,-97.07834249,C - POSSIBLE INJURY
30.04774329,-95.87420597,B - SUSPECTED MINOR INJURY
29.41150241,-98.6546563,A - SUSPECTED SERIOUS INJURY
30.07606281,-94.13540813,K - FATAL INJURY
29.62631484,-95.60305911,A - SUSPECTED SERIOUS INJURY
33.60183979,-101.91840288,C - POSSIBLE INJURY
30.53917844,-97.83791343,C - POSSIBLE INJURY
32.57468432,-97.37422244,B - SUSPECTED MINOR INJURY
32.91056346,-96.88352482,B - SUSPECTED MINOR INJURY
30.0082939,-94.67278592,B - SUSPECTED MINOR INJURY
32.73784837,-97.22509652,B - SUSPECTED MINOR INJURY
31.82022454,-99.43084197,N - NOT INJURED
32.65424788,-96.8778688,C - POSSIBLE INJURY
32.76616245,-96.80522931,A - SUSPECTED SERIOUS INJURY
31.98683356,-102.0883563,B - SUSPECTED MINOR INJURY
29.53940484,-95.05057318,B - SUSPECTED MINOR INJURY
33.52897141,-101.88784127,C - POSSIBLE INJURY
29.7741348,-95.35524309,B - SUSPECTED MINOR INJURY
27.68564182,-98.08740704,A - SUSPECTED SERIOUS INJURY
29.46085494,-97.8771,A - SUSPECTED SERIOUS INJURY
31.90254465,-102.33689126,B - SUSPECTED MINOR INJURY
32.58136582,-97.31958269,A - SUSPECTED SERIOUS INJURY
29.7673209,-95.29960094,B - SUSPECTED MINOR INJURY
30.69393406,-96.26347214,B - SUSPECTED MINOR INJURY
33.00708414,-96.94927887,B - SUSPECTED MINOR INJURY
33.93005117,-98.51542577,K - FATAL INJURY
29.68875953,-96.83514758,B - SUSPECTED MINOR INJURY
32.2259836,-101.55609445,B - SUSPECTED MINOR INJURY
29.65048012,-95.25008577,B - SUSPECTED MINOR INJURY
32.73150256,-96.34310485,B - SUSPECTED MINOR INJURY
33.15150451,-96.60724209,99 - UNKNOWN
32.86091949,-96.6564704,C - POSSIBLE INJURY
30.23390611,-97.86486867,A - SUSPECTED SERIOUS INJURY
29.80000479,-95.35234309,C - POSSIBLE INJURY
29.79104981,-95.2905611,C - POSSIBLE INJURY
26.3007763,-98.18286002,A - SUSPECTED SERIOUS INJURY
30.01061618,-95.44788875,A - SUSPECTED SERIOUS INJURY
35.26301274,-102.74619648,N - NOT INJURED
30.22908621,-97.81961203,A - SUSPECTED SERIOUS INJURY
29.71596481,-95.57974304,A - SUSPECTED SERIOUS INJURY
30.62536663,-96.24550982,B - SUSPECTED MINOR INJURY
29.53375037,-95.7767944,B - SUSPECTED MINOR INJURY
30.34637427,-97.66016109,C - POSSIBLE INJURY
27.72122171,-97.39780679,C - POSSIBLE INJURY
32.6688943,-97.35593244,N - NOT INJURED
32.24825411,-101.47859916,B - SUSPECTED MINOR INJURY
30.50795466,-97.57658709,B - SUSPECTED MINOR INJURY
29.92790889,-95.54950275,K - FATAL INJURY
30.26462974,-97.76486618,B - SUSPECTED MINOR INJURY
29.99687072,-97.43037882,B - SUSPECTED MINOR INJURY
27.78072997,-98.02124971,A - SUSPECTED SERIOUS INJURY
29.49495523,-95.10922492,B - SUSPECTED MINOR INJURY
30.1781348,-97.83879244,C - POSSIBLE INJURY
33.13734809,-96.65334493,B - SUSPECTED MINOR INJURY
32.29797793,-100.16744831,B - SUSPECTED MINOR INJURY
27.78834527,-97.41848264,B - SUSPECTED MINOR INJURY
32.48378328,-95.86814435,A - SUSPECTED SERIOUS INJURY
31.69733387,-97.14103185,C - POSSIBLE INJURY
32.2150326,-94.46687007,A - SUSPECTED SERIOUS INJURY
33.00537894,-96.22867023,B - SUSPECTED MINOR INJURY
31.88474086,-106.585045,C - POSSIBLE INJURY
30.05330268,-93.8850953,A - SUSPECTED SERIOUS INJURY
30.43045063,-97.87386853,B - SUSPECTED MINOR INJURY
29.75308164,-95.98016628,C - POSSIBLE INJURY
33.55189237,-99.27023572,A - SUSPECTED SERIOUS INJURY
30.20287704,-97.63961029,C - POSSIBLE INJURY
29.54039484,-95.14145316,C - POSSIBLE INJURY
