crash_id,person_injury_severity,crash_date,crash_month,crash_time,crash_year,day_of_week,city,county,latitude,longitude,rural_flag,rural_urban_type,road_class,physical_feature_1,population_group,property_damages
16189632,A - SUSPECTED SERIOUS INJURY,2018-01-01,1,1123,2018,MONDAY,OUTSIDE CITY LIMITS,JIM WELLS,28.04319507,-97.9290595,Yes,no data,COUNTY ROAD,NOT APPLICABLE,RURAL,NONE
16203470,C - POSSIBLE INJURY,2018-01-04,1,1316,2018,THURSDAY,OUTSIDE CITY LIMITS,HIDALGO,26.29303508,-98.34886112,Yes,no data,COUNTY ROAD,NOT APPLICABLE,RURAL,DOG
16191458,99 - UNKNOWN,2018-01-05,1,2207,2018,FRIDAY,OUTSIDE CITY LIMITS,WILLIAMSON,30.46717132,-97.8333446,Yes,no data,COUNTY ROAD,NOT APPLICABLE,RURAL,NONE
16192023,A - SUSPECTED SERIOUS INJURY,2018-01-05,1,2045,2018,FRIDAY,OUTSIDE CITY LIMITS,HARRIS,29.95793172,-95.64982499,Yes,no data,COUNTY ROAD,NOT APPLICABLE,RURAL,NONE
16196720,B - SUSPECTED MINOR INJURY,2018-01-05,1,307,2018,FRIDAY,MCALLEN,HIDALGO,26.2246359,-98.24724129,No,no data,CITY STREET,NOT APPLICABLE,"100,000 - 249,999 POP",NONE
16189103,B - SUSPECTED MINOR INJURY,2018-01-06,1,1210,2018,SATURDAY,OUTSIDE CITY LIMITS,WOOD,32.69214274,-95.41190794,Yes,RURAL (<5000),FARM TO MARKET,NOT APPLICABLE,RURAL,NONE
16190861,N - NOT INJURED,2018-01-06,1,1637,2018,SATURDAY,LAREDO,WEBB,27.590541,-99.46957683,No,no data,CITY STREET,ENTRANCE TO OR EXIT FROM PRIVATE PROPERTY OR DRIVEWAY,"100,000 - 249,999 POP",NONE
16196075,A - SUSPECTED SERIOUS INJURY,2018-01-06,1,1946,2018,SATURDAY,YOAKUM,LAVACA,29.30752366,-97.13448277,No,no data,CITY STREET,NOT APPLICABLE,"5,000 - 9,999 POP",NONE
16198730,99 - UNKNOWN,2018-01-06,1,2225,2018,SATURDAY,CORPUS CHRISTI,NUECES,27.67554671,-97.29900708,No,"LARGE URBANIZED (200,000+)",US & STATE HIGHWAYS,NOT APPLICABLE,"250,000 POP AND OVER",CONCRETE CURB/MEDIAN
16203083,B - SUSPECTED MINOR INJURY,2018-01-06,1,1206,2018,SATURDAY,OUTSIDE CITY LIMITS,BROWN,31.87714733,-98.7886317,Yes,RURAL (<5000),FARM TO MARKET,NOT APPLICABLE,RURAL,NONE
16211875,N - NOT INJURED,2018-01-06,1,1425,2018,SATURDAY,OUTSIDE CITY LIMITS,HARRIS,30.00071177,-95.42605918,Yes,"LARGE URBANIZED (200,000+)",INTERSTATE,NOT APPLICABLE,RURAL,NONE
16204997,B - SUSPECTED MINOR INJURY,2018-01-07,1,1220,2018,SUNDAY,OUTSIDE CITY LIMITS,GRIMES,30.52517899,-96.09301751,Yes,RURAL (<5000),FARM TO MARKET,NOT APPLICABLE,RURAL,NONE
16212108,99 - UNKNOWN,2018-01-07,1,1430,2018,SUNDAY,HOUSTON,HARRIS,29.83085393,-95.25346312,No,no data,CITY STREET,NOT APPLICABLE,"250,000 POP AND OVER",NONE
16978915,K - FATAL INJURY,2018-01-07,1,1415,2018,SUNDAY,OUTSIDE CITY LIMITS,TARRANT,32.84545986,-97.53974277,Yes,no data,COUNTY ROAD,NOT APPLICABLE,RURAL,NONE
16189210,B - SUSPECTED MINOR INJURY,2018-01-08,1,2125,2018,MONDAY,SAN ANTONIO,BEXAR,29.5709591,-98.64398907,No,no data,CITY STREET,NOT APPLICABLE,"250,000 POP AND OVER",NONE
16193829,N - NOT INJURED,2018-01-08,1,612,2018,MONDAY,LOCKHART,CALDWELL,29.90966981,-97.68023455,No,RURAL (<5000),US & STATE HIGHWAYS,ONE OR MORE TRAFFIC LANES CLOSED,"10,000 - 24,999 POP",NONE
16195165,B - SUSPECTED MINOR INJURY,2018-01-08,1,1700,2018,MONDAY,OUTSIDE CITY LIMITS,HARRIS,29.91687733,-95.29095441,Yes,no data,COUNTY ROAD,NOT APPLICABLE,RURAL,NONE
16196935,C - POSSIBLE INJURY,2018-01-08,1,1602,2018,MONDAY,BROWNSVILLE,CAMERON,25.94492566,-97.4364727,No,no data,CITY STREET,ENTRANCE TO OR EXIT FROM PRIVATE PROPERTY OR DRIVEWAY,"100,000 - 249,999 POP",NONE
16190900,K - FATAL INJURY,2018-01-09,1,1640,2018,TUESDAY,OUTSIDE CITY LIMITS,BASTROP,30.08602524,-97.50803772,Yes,RURAL (<5000),US & STATE HIGHWAYS,NOT APPLICABLE,RURAL,NONE
16194513,B - SUSPECTED MINOR INJURY,2018-01-09,1,1552,2018,TUESDAY,AUSTIN,TRAVIS,30.43305582,-97.66986311,No,"LARGE URBANIZED (200,000+)",INTERSTATE,NOT APPLICABLE,"250,000 POP AND OVER",NONE
16194515,B - SUSPECTED MINOR INJURY,2018-01-09,1,2225,2018,TUESDAY,AUSTIN,TRAVIS,no data,no data,No,no data,NON TRAFFICWAY,IN A PARKING LOT,"250,000 POP AND OVER",NONE
16195540,B - SUSPECTED MINOR INJURY,2018-01-09,1,558,2018,TUESDAY,CLEBURNE,JOHNSON,32.39193626,-97.38936592,No,"SMALL URBAN (5000-49,999)",US & STATE HIGHWAYS,NOT APPLICABLE,"25,000 - 49,999 POP",NONE
16198808,B - SUSPECTED MINOR INJURY,2018-01-09,1,1030,2018,TUESDAY,OUTSIDE CITY LIMITS,HARRIS,29.78508581,-95.72076807,Yes,"LARGE URBANIZED (200,000+)",INTERSTATE,NOT APPLICABLE,RURAL,NONE
16980827,A - SUSPECTED SERIOUS INJURY,2018-01-09,1,654,2018,TUESDAY,FORT WORTH,TARRANT,32.6849667,-97.28383934,No,"LARGE URBANIZED (200,000+)",CITY STREET,NOT APPLICABLE,"250,000 POP AND OVER",NONE
16190950,K - FATAL INJURY,2018-01-10,1,105,2018,WEDNESDAY,FORT WORTH,TARRANT,32.73486493,-97.18117366,No,no data,CITY STREET,NOT APPLICABLE,"250,000 POP AND OVER",LIGHT POLE
16192546,B - SUSPECTED MINOR INJURY,2018-01-10,1,840,2018,WEDNESDAY,SAN ANTONIO,BEXAR,29.42685341,-98.50104666,No,"LARGE URBANIZED (200,000+)",INTERSTATE,NOT APPLICABLE,"250,000 POP AND OVER",NONE
16192883,K - FATAL INJURY,2018-01-10,1,1337,2018,WEDNESDAY,FORT WORTH,TARRANT,32.83850883,-97.05922033,No,"LARGE URBANIZED (200,000+)",US & STATE HIGHWAYS,NOT APPLICABLE,"250,000 POP AND OVER",NONE
16192893,C - POSSIBLE INJURY,2018-01-10,1,1829,2018,WEDNESDAY,CORPUS CHRISTI,NUECES,27.71814369,-97.39142713,No,"LARGE URBANIZED (200,000+)",US & STATE HIGHWAYS,NOT APPLICABLE,"250,000 POP AND OVER",NONE
16193187,A - SUSPECTED SERIOUS INJURY,2018-01-10,1,108,2018,WEDNESDAY,SAN ANTONIO,BEXAR,no data,no data,No,no data,NON TRAFFICWAY,IN A PARKING LOT,"250,000 POP AND OVER",NONE
