person_age,person_gender,person_ethnicity,person_injury_severity,driver_license_class,person_age
37,1 - MALE,W - WHITE,A - SUSPECTED SERIOUS INJURY,C - CLASS C,37
30,1 - MALE,H - HISPANIC,C - POSSIBLE INJURY,C - CLASS C,30
20,1 - MALE,W - WHITE,99 - UNKNOWN,C - CLASS C,20
21,1 - MALE,W - WHITE,A - SUSPECTED SERIOUS INJURY,C - CLASS C,21
18,1 - MALE,H - HISPANIC,B - SUSPECTED MINOR INJURY,5 - UNLICENSED,18
28,1 - MALE,W - WHITE,B - SUSPECTED MINOR INJURY,CM - CLASS C AND M,28
46,1 - MALE,B - BLACK,N - NOT INJURED,BM - CLASS B AND M,46
39,1 - MALE,H - HISPANIC,A - SUSPECTED SERIOUS INJURY,C - CLASS C,39
no data,99 - UNKNOWN,99 - UNKNOWN,99 - UNKNOWN,99 - UNKNOWN,no data
26,1 - MALE,W - WHITE,B - SUSPECTED MINOR INJURY,C - CLASS C,26
57,1 - MALE,W - WHITE,N - NOT INJURED,CM - CLASS C AND M,57
18,1 - MALE,H - HISPANIC,B - SUSPECTED MINOR INJURY,CM - CLASS C AND M,18
no data,1 - MALE,B - BLACK,99 - UNKNOWN,99 - UNKNOWN,no data
48,1 - MALE,H - HISPANIC,K - FATAL INJURY,CM - CLASS C AND M,48
34,1 - MALE,W - WHITE,B - SUSPECTED MINOR INJURY,C - CLASS C,34
47,1 - MALE,H - HISPANIC,N - NOT INJURED,CM - CLASS C AND M,47
28,1 - MALE,H - HISPANIC,B - SUSPECTED MINOR INJURY,C - CLASS C,28
23,2 - FEMALE,H - HISPANIC,C - POSSIBLE INJURY,C - CLASS C,23
41,1 - MALE,W - WHITE,K - FATAL INJURY,CM - CLASS C AND M,41
66,1 - MALE,W - WHITE,B - SUSPECTED MINOR INJURY,CM - CLASS C AND M,66
23,1 - MALE,W - WHITE,B - SUSPECTED MINOR INJURY,CM - CLASS C AND M,23
33,1 - MALE,W - WHITE,B - SUSPECTED MINOR INJURY,CM - CLASS C AND M,33
30,1 - MALE,W - WHITE,B - SUSPECTED MINOR INJURY,C - CLASS C,30
21,1 - MALE,H - HISPANIC,A - SUSPECTED SERIOUS INJURY,5 - UNLICENSED,21
26,1 - MALE,B - BLACK,K - FATAL INJURY,C - CLASS C,26
46,1 - MALE,W - WHITE,B - SUSPECTED MINOR INJURY,98 - OTHER/OUT OF STATE,46
22,1 - MALE,W - WHITE,K - FATAL INJURY,CM - CLASS C AND M,22
44,1 - MALE,W - WHITE,C - POSSIBLE INJURY,CM - CLASS C AND M,44
40,1 - MALE,W - WHITE,A - SUSPECTED SERIOUS INJURY,5 - UNLICENSED,40
38,2 - FEMALE,W - WHITE,A - SUSPECTED SERIOUS INJURY,CM - CLASS C AND M,38
20,1 - MALE,B - BLACK,N - NOT INJURED,99 - UNKNOWN,20
21,1 - MALE,W - WHITE,B - SUSPECTED MINOR INJURY,CM - CLASS C AND M,21
54,1 - MALE,W - WHITE,B - SUSPECTED MINOR INJURY,CM - CLASS C AND M,54
40,1 - MALE,H - HISPANIC,B - SUSPECTED MINOR INJURY,C - CLASS C,40
60,1 - MALE,W - WHITE,A - SUSPECTED SERIOUS INJURY,CM - CLASS C AND M,60
28,1 - MALE,W - WHITE,K - FATAL INJURY,C - CLASS C,28
34,1 - MALE,W - WHITE,B - SUSPECTED MINOR INJURY,CM - CLASS C AND M,34
22,1 - MALE,W - WHITE,A - SUSPECTED SERIOUS INJURY,CM - CLASS C AND M,22
60,1 - MALE,B - BLACK,N - NOT INJURED,C - CLASS C,60
56,1 - MALE,B - BLACK,A - SUSPECTED SERIOUS INJURY,C - CLASS C,56
25,1 - MALE,H - HISPANIC,N - NOT INJURED,98 - OTHER/OUT OF STATE,25
28,1 - MALE,H - HISPANIC,B - SUSPECTED MINOR INJURY,A - CLASS A,28
17,1 - MALE,W - WHITE,N - NOT INJURED,C - CLASS C,17
27,1 - MALE,I - AMER. INDIAN/ALASKAN NATIVE,A - SUSPECTED SERIOUS INJURY,C - CLASS C,27
