crash_id,license_plate_state,vehicle_body_style,vehicle_color,vehicle_defect_1,vehicle_make,vehicle_model_name,vehicle_model_year,person_injury_severity
16189632,TX - TEXAS,MC - MOTORCYCLE,BLU - BLUE,no data,OTHER (EXPLAIN IN NARRATIVE),OTHER (EXPLAIN IN NARRATIVE) (OTHER (EXPLAIN IN NARRATIVE)),no data,A - SUSPECTED SERIOUS INJURY
16203470,TX - TEXAS,MC - MOTORCYCLE,GRY - GRAY,no data,SUZUKI,GSX-R600 (SUZUKI),2004,B - SUSPECTED MINOR INJURY
16192023,TX - TEXAS,MC - MOTORCYCLE,BLU - BLUE,no data,YAMAHA,YZFR6 (YAMAHA),2017,A - SUSPECTED SERIOUS INJURY
16196720,TX - TEXAS,MC - MOTORCYCLE,BLU - BLUE,no data,YAMAHA,RZ500 (YAMAHA),2002,B - SUSPECTED MINOR INJURY
16189103,TX - TEXAS,MC - MOTORCYCLE,BLK - BLACK,no data,HARLEY-DAVIDSON,FXDF (HARLEY-DAVIDSON),2009,B - SUSPECTED MINOR INJURY
16190861,TX - TEXAS,MC - MOTORCYCLE,RED - RED,no data,HARLEY-DAVIDSON,FXB (HARLEY-DAVIDSON),2018,N - NOT INJURED
16196075,TX - TEXAS,MC - MOTORCYCLE,BLU - BLUE,no data,YAMAHA,UNKNOWN (YAMAHA),2007,A - SUSPECTED SERIOUS INJURY
16203083,TX - TEXAS,MC - MOTORCYCLE,WHI - WHITE,no data,HONDA,CBR600 (HONDA),1989,B - SUSPECTED MINOR INJURY
16211875,TX - TEXAS,MC - MOTORCYCLE,BLK - BLACK,no data,HARLEY-DAVIDSON,FLHP (HARLEY-DAVIDSON),2013,N - NOT INJURED
16204997,TX - TEXAS,MC - MOTORCYCLE,RED - RED,no data,KAWASAKI,UNKNOWN (KAWASAKI),2012,B - SUSPECTED MINOR INJURY
16978915,TX - TEXAS,MC - MOTORCYCLE,BLK - BLACK,no data,HARLEY-DAVIDSON,UNKNOWN (HARLEY-DAVIDSON),2003,K - FATAL INJURY
16189210,TX - TEXAS,MC - MOTORCYCLE,BLU - BLUE,no data,HONDA,VT700 (HONDA),2007,B - SUSPECTED MINOR INJURY
16193829,TX - TEXAS,PM - POLICE MOTORCYCLE,BLK - BLACK,no data,KAWASAKI,ZG1000 (KAWASAKI),2013,N - NOT INJURED
16195165,TX - TEXAS,MC - MOTORCYCLE,RED - RED,no data,HONDA,XR100 (HONDA),2003,B - SUSPECTED MINOR INJURY
16196935,TX - TEXAS,MC - MOTORCYCLE,WHI - WHITE,no data,HARLEY-DAVIDSON,XL883 (HARLEY-DAVIDSON),2018,B - SUSPECTED MINOR INJURY
16190900,TX - TEXAS,MC - MOTORCYCLE,RED - RED,no data,HONDA,CB600 (HONDA),2002,K - FATAL INJURY
16194513,TX - TEXAS,MC - MOTORCYCLE,BLK - BLACK,no data,HARLEY-DAVIDSON,no data,2016,B - SUSPECTED MINOR INJURY
16194515,TX - TEXAS,MC - MOTORCYCLE,BLK - BLACK,no data,KAWASAKI,EX250 (KAWASAKI),2016,B - SUSPECTED MINOR INJURY
16195540,TX - TEXAS,MC - MOTORCYCLE,BLK - BLACK,no data,KAWASAKI,no data,2012,B - SUSPECTED MINOR INJURY
16198808,TX - TEXAS,MC - MOTORCYCLE,PLE - PURPLE,no data,YAMAHA,UNKNOWN (YAMAHA),2003,B - SUSPECTED MINOR INJURY
16980827,TX - TEXAS,MC - MOTORCYCLE,BLK - BLACK,no data,CPI MOTOR COMPANY,UNKNOWN (CPI MOTOR COMPANY),2013,A - SUSPECTED SERIOUS INJURY
16190950,TX - TEXAS,MC - MOTORCYCLE,BLU - BLUE,no data,KAWASAKI,EX300 (KAWASAKI),2017,K - FATAL INJURY
16192546,MT - MONTANA,MC - MOTORCYCLE,MAR - MAROON,10 - DEFECTIVE OR NO VEHICLE BRAKES,SUZUKI,UNKNOWN (SUZUKI),1988,B - SUSPECTED MINOR INJURY
16192883,TX - TEXAS,MC - MOTORCYCLE,BLK - BLACK,no data,HONDA,CBR600 (HONDA),2008,K - FATAL INJURY
16192893,TX - TEXAS,MC - MOTORCYCLE,BLK - BLACK,no data,HARLEY-DAVIDSON,FLHR (HARLEY-DAVIDSON),2012,B - SUSPECTED MINOR INJURY
16193187,no data,MC - MOTORCYCLE,RED - RED,no data,HARLEY-DAVIDSON,FLHP (HARLEY-DAVIDSON),2006,A - SUSPECTED SERIOUS INJURY
16192161,TX - TEXAS,MC - MOTORCYCLE,YEL - YELLOW,no data,HARLEY-DAVIDSON,XL1200 (HARLEY-DAVIDSON),2007,A - SUSPECTED SERIOUS INJURY
16193412,UN - UNKNOWN,MC - MOTORCYCLE,BLK - BLACK,no data,SUZUKI,GSX (SUZUKI),2007,N - NOT INJURED
16196387,TX - TEXAS,MC - MOTORCYCLE,BLK - BLACK,no data,KAWASAKI,UNKNOWN (KAWASAKI),2017,B - SUSPECTED MINOR INJURY
16196864,TX - TEXAS,MC - MOTORCYCLE,BLK - BLACK,no data,BMW,R1100 (BMW),2000,B - SUSPECTED MINOR INJURY
16194597,TX - TEXAS,MC - MOTORCYCLE,BLK - BLACK,no data,HARLEY-DAVIDSON,UNKNOWN (HARLEY-DAVIDSON),2016,B - SUSPECTED MINOR INJURY
16195657,TX - TEXAS,MC - MOTORCYCLE,BLU - BLUE,no data,HARLEY-DAVIDSON,FLHP (HARLEY-DAVIDSON),2003,A - SUSPECTED SERIOUS INJURY
16197960,TX - TEXAS,MC - MOTORCYCLE,BLU - BLUE,no data,SUZUKI,GSX-R1000 (SUZUKI),2005,K - FATAL INJURY
16195826,TX - TEXAS,MC - MOTORCYCLE,BLK - BLACK,no data,HARLEY-DAVIDSON,UNKNOWN (HARLEY-DAVIDSON),2005,B - SUSPECTED MINOR INJURY
16196920,TX - TEXAS,MC - MOTORCYCLE,SIL - SILVER,no data,HONDA,CBR600 (HONDA),2003,A - SUSPECTED SERIOUS INJURY
16197141,TX - TEXAS,MC - MOTORCYCLE,BLU - BLUE,no data,HARLEY-DAVIDSON,UNKNOWN (HARLEY-DAVIDSON),2007,N - NOT INJURED
16201468,TX - TEXAS,MC - MOTORCYCLE,RED - RED,no data,OTHER (EXPLAIN IN NARRATIVE),OTHER (EXPLAIN IN NARRATIVE) (OTHER (EXPLAIN IN NARRATIVE)),no data,A - SUSPECTED SERIOUS INJURY
16202353,WA - WASHINGTON,MC - MOTORCYCLE,BLU - BLUE,no data,YAMAHA,YZFR6 (YAMAHA),2007,N - NOT INJURED
16207750,TX - TEXAS,MC - MOTORCYCLE,BLK - BLACK,no data,YAMAHA,XVS650 (YAMAHA),2015,B - SUSPECTED MINOR INJURY
16195997,TX - TEXAS,MC - MOTORCYCLE,BLU - BLUE,no data,HONDA,CBR1000 (HONDA),2008,N - NOT INJURED
